GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density
36081046200,26.6,0.128636623,0.001426127,0.405733029,0,0.324729036,0.429121506,0.443847487,0.207073588,0.149172847,0.097119224,0.132915003,0.198374216,0.238824764,53295,0.05692927,0.086139507,0.167808219,566100,1964,0.776418787,28106.91209
36081045000,19.6,0.078431373,0,0.579115367,0,0.191518468,0.447788418,0.534482759,0.176014592,0.133150935,0.176470588,0.112631099,0.204286366,0.10782967,90568,0.07781457,0.071591427,0.076923077,585500,1939,0.326454034,12744.81316
36081045400,21.5,0.160195252,0.008653206,0.628799645,0,0.101175949,0.526514311,0.550474066,0.1519858,0.135123142,0.197470601,0.105391613,0.170401598,0.159577976,45958,0.064898153,0.147992012,0.089734874,168400,1954,0.558123725,19521.89337
36081045600,18.6,0.028744327,0,0.708774584,0,0.142208775,0.486384266,0.604982206,0.21633888,0.116490166,0.08774584,0.136913767,0.288956127,0.180612245,76563,0.081081081,0.170196672,0.201201201,650900,1939,0.279279279,8153.246497
36081044602,30.6,0.197927908,0.011223829,0.427584718,0.016835744,0.298294841,0.46233542,0.505800464,0.136844377,0.189294194,0.108353119,0.147852363,0.123246277,0.235080778,40883,0.089128306,0.325225225,0.340757238,281000,1957,0.869339272,27255.66674
36081044800,24.8,0.043569188,0.012199373,0.523178808,0,0.268734751,0.454513768,0.58778626,0.17706518,0.143952597,0.134541652,0.11049146,0.133844545,0.265800354,56518,0.090770404,0.307422969,0.093117409,665600,1942,0.591093117,13800.83315
36081045800,19.1,0.093845482,0.026625928,0.624618071,0,0.085552161,0.511130511,0.603763143,0.104321257,0.199912702,0.154081187,0.095591445,0.195111305,0.088463837,58942,0.076724138,0.075098814,0.063920455,755600,1953,0.598011364,9345.451282
36081046600,23.5,0.255413659,0,0.425041644,0,0.188784009,0.498611882,0.502259298,0.107995558,0.190172127,0.126318712,0.143531371,0.195724597,0.107981221,60448,0.081489477,0.072939866,0.114959469,192100,1961,0.670596905,14983.04944
36081046300,24.7,0.010635538,0,0.326588846,0,0.597924773,0.55771725,0.513202858,0.189105058,0.13307393,0.2,0.13229572,0.151491569,0.36097561,51644,0.033621081,0.125877763,0.230396902,728600,1952,0.66214908,24196.12987
36081046400,21.9,0.319719953,0,0.251458576,0,0.242707118,0.455659277,0.351742275,0.389731622,0.062427071,0.119603267,0.113768961,0.1831972,0.142391304,92625,0.106854839,0.1011994,0.088036117,632400,1947,0.589164786,7496.337116
36081046500,27.6,0.002825657,0,0.311952529,0,0.682961288,0.579259678,0.542758621,0.224074597,0.179429217,0.119242724,0.112178582,0.161345013,0.381606325,49706,0.038987342,0.168633094,0.168949772,789200,1939,0.75456621,27289.62162
36081046700,28.6,0.00551655,0.005683718,0.256101638,0,0.729689067,0.467235038,0.562619199,0.151454363,0.176529589,0.124205951,0.134904714,0.17001003,0.309796121,35560,0.06122449,0.230859244,0.24012314,211900,1952,0.915341201,42193.31904
36081046800,25.3,0.088481838,0.007451102,0.686432785,0,0.086929525,0.477801925,0.508232711,0.14746973,0.159888233,0.103384042,0.15709407,0.244334058,0.208735825,67708,0.064935065,0.12232226,0.183419689,472800,1939,0.534715026,14047.52871
36081046900,25.8,0.041386066,0.01261173,0.301701971,0,0.618219665,0.43479858,0.551903114,0.151340762,0.131504837,0.1322395,0.140565691,0.190400392,0.262820513,47802,0.039636455,0.177053998,0.189854532,332400,1952,0.830287206,53979.92029
36081047300,19.5,0.01584022,0.003902663,0.665977961,0,0.176538108,0.48415978,0.442312612,0.206382002,0.186868687,0.101469238,0.104224059,0.26882461,0.198981121,57120,0.061115669,0.123697012,0.0856102,490100,1965,0.613843352,21958.30141
36081047000,26.9,0.118181818,0.032121212,0.497878788,0,0.17969697,0.486363636,0.523060422,0.16,0.127272727,0.123939394,0.154848485,0.219393939,0.24790472,62321,0.08785845,0.154242424,0.188764045,477700,1941,0.458426966,14398.09422
36081047100,21.1,0.00580181,0.014852634,0.689719192,0,0.254119285,0.513344163,0.558969857,0.130656765,0.207008587,0.096774194,0.18124855,0.147133906,0.156914894,43099,0.056872038,0.236713855,0.175665399,585600,1959,0.738403042,27271.28888
36081047200,23.5,0.277308635,0,0.327431218,0,0.161263961,0.457913375,0.532839963,0.126123672,0.127485699,0.137019886,0.107055298,0.36175429,0.174608696,63730,0.045108696,0.074254413,0.079537238,788300,1961,0.553145336,7051.641605
36081047500,19.2,0.011846002,0.005923001,0.605626851,0,0.291461007,0.496544916,0.459467369,0.196692991,0.192744324,0.144866732,0.127838105,0.149555775,0.168221186,58026,0.068416866,0.147626113,0.129710145,587500,1961,0.699275362,14378.17583
36081004500,21.6,0.024305556,0,0.224537037,0,0.218171296,0.485821759,0.499658703,0.118055556,0.1640625,0.079571759,0.174768519,0.298321759,0.125781537,79688,0.068037975,0.057002315,0.086693548,369300,1956,0.269489247,15691.8299
36081004700,29,0.220411435,0.008816457,0.160299225,0,0.394336094,0.452043815,0.366813709,0.197168047,0.160566391,0.09938552,0.1242319,0.195565055,0.231636222,32319,0.05866946,0.168848517,0.309677419,710400,1955,0.905571848,20894.156
36081005300,21,0.02729581,0.005713077,0.231696995,0,0.212653407,0.492170969,0.420438304,0.193186627,0.315488785,0.134997884,0.078501904,0.163563267,0.089290131,71882,0.06795225,0.088023699,0.04438861,777900,1942,0.890703518,24065.70967
36081036700,32.7,0.310431504,0,0.125680771,0,0.541265186,0.500209468,0.455242967,0.169669041,0.100544617,0.173020528,0.155844156,0.200670297,0.222614841,46957,0.11092437,0.191282268,0.175271739,587700,1939,0.44701087,12211.96742
36081005400,26.9,0.060043125,0,0.286282966,0,0.41416487,0.46508542,0.51372315,0.211311992,0.132857854,0.11278819,0.180129375,0.136838613,0.214549029,76875,0.086755171,0.128376125,0.12947494,477100,1939,0.37052506,14482.06616
36081005800,26.7,0.119217082,0,0.134260757,0,0.455354254,0.446457457,0.525356125,0.143804594,0.120672921,0.139113555,0.15561307,0.253963119,0.196812043,72069,0.07421875,0.127466839,0.135758197,452300,1951,0.369364754,10476.42127
36081006100,21.7,0.025296017,0,0.200035881,0,0.228919986,0.450484392,0.407116178,0.257983495,0.229996412,0.144420524,0.108001435,0.172228202,0.111157806,63775,0.042123629,0.092057762,0.046846847,798900,1940,0.908468468,28593.8534
36081030904,25.7,0.004173623,0.016694491,0.306065665,0,0.388425153,0.466611018,0.53591714,0.157206455,0.160267112,0.127712855,0.186978297,0.152476349,0.181490385,65714,0.073012439,0.144407346,0.174588665,681600,1961,0.6023766,8677.51235
36081043702,31,0.153395965,0.014477129,0.14076698,0,0.718928076,0.424765132,0.429870381,0.164176806,0.138764824,0.115971046,0.086554751,0.228245803,0.241618497,41385,0.052840562,0.235792392,0.30809628,216100,1964,0.605689278,36974.81863
36081044301,31,0.091442282,0.037856572,0.226073047,0,0.62410024,0.504932018,0.468613629,0.202879232,0.167955212,0.068781658,0.103705678,0.241535591,0.425087108,29081,0.155555556,0.335643828,0.489121676,716300,1984,0.850926672,28082.02256
36081036500,33.6,0.138494756,0.006785935,0.076187539,0,0.778840222,0.483652067,0.41787234,0.184762492,0.161628624,0.128932758,0.0980876,0.10980876,0.268885367,50977,0.069319641,0.203967762,0.124840764,709100,1939,0.70955414,19518.12742
36081036600,34,0.910411622,0,0.037011415,0,0.053268765,0.485645105,0.364785173,0.142857143,0.122103079,0.157039087,0.156693186,0.216879972,0.122178606,67449,0.075898802,0.156141568,0.180527383,375800,1949,0.39959432,7824.997226
36081035800,34.2,0.924321752,0,0.005473584,0,0.069728701,0.444312232,0.343210587,0.178486435,0.141123275,0.12684436,0.135173727,0.208472156,0.107856651,84153,0.07300885,0.133969011,0.14375491,473900,1952,0.435978005,8015.856211
36081036800,34,0.922720247,0,0,0,0.080370943,0.439335394,0.330344502,0.198995363,0.090803709,0.104714065,0.180834621,0.217156105,0.113348677,69444,0.110692771,0.08423493,0.117149758,393900,1946,0.288647343,11120.70781
36081037100,31,0.26518063,0.001537279,0.149884704,0,0.482705611,0.455803228,0.435013263,0.150653344,0.160645657,0.144504228,0.153727902,0.23443505,0.23364486,66985,0.051750381,0.129900077,0.03962704,698300,1939,0.268065268,6943.666106
36081037300,31.6,0.151333947,0,0.163293468,0,0.62925483,0.471021159,0.464354528,0.193652254,0.121895124,0.132474701,0.132474701,0.110855566,0.237767584,46088,0.039877301,0.127414903,0.157650696,628800,1939,0.551777434,9136.757166
36081037600,32.9,0.909090909,0.002133246,0.034952412,0,0.039547096,0.460617,0.372065728,0.16179849,0.114702987,0.105349524,0.180833607,0.225795865,0.14480489,83242,0.072760072,0.049556941,0.138874277,435600,1950,0.301420305,7921.003136
36081038100,31.9,0.135779555,0.00256996,0.048115363,0,0.807824101,0.517133067,0.397985826,0.168760708,0.194460308,0.170474015,0.074671616,0.11407767,0.352398109,53958,0.062297018,0.198090001,0.315116279,394600,1957,0.595348837,24632.22235
36081008100,24.2,0.025125628,0,0.132806892,0,0.493180187,0.534099067,0.403624382,0.221823403,0.267049533,0.169418521,0.07896626,0.091888011,0.160226202,84438,0.061505832,0.119855596,0.05815832,780400,1942,0.723747981,12409.79955
36081007700,22.4,0.007230256,0.010011123,0.249721913,0,0.252502781,0.536707453,0.433689503,0.287541713,0.26974416,0.102892102,0.10567297,0.081201335,0.128499641,88167,0.027937551,0.145717464,0,475000,2000,0.776712329,14202.32387
36081008600,25.6,0.007793128,0.008501594,0.160467588,0.001771165,0.461211477,0.487778959,0.560017087,0.205809423,0.100602196,0.172157279,0.165781084,0.150549061,0.175475687,87679,0.087179487,0.120985011,0.126340882,524600,1941,0.327771156,8500.52846
36081008800,26.4,0.063719116,0,0.095708713,0,0.53420026,0.486085826,0.513694055,0.156827048,0.125617685,0.173472042,0.132379714,0.15786736,0.1796875,85100,0.070453304,0.108712614,0.089225589,479600,1939,0.30976431,8577.400724
36081007900,25.3,0.009009009,0,0.239431739,0,0.312196812,0.516978517,0.440193315,0.206860707,0.136867637,0.127858628,0.146916147,0.176022176,0.25487399,52011,0.05798005,0.235273735,0.192699491,547600,1953,0.825127334,17990.83627
36081008300,26.3,0.097147263,0,0.158057055,0.00616808,0.367771781,0.561680802,0.39138322,0.273323053,0.161912105,0.137239784,0.132613724,0.121819584,0.139308855,49574,0.037400368,0.144949884,0.140801644,534900,1952,0.847893114,13565.3138
36081009100,25.4,0.041583367,0,0.130747701,0,0.380647741,0.516593363,0.461103868,0.164334266,0.194722111,0.119952019,0.175129948,0.235505798,0.156979632,68186,0.07498144,0.120751699,0.184397163,648900,1977,0.695921986,13430.49544
36081009400,26,0.102491103,0.007117438,0.487900356,0,0.308185053,0.502135231,0.552631579,0.166192171,0.113523132,0.156227758,0.147330961,0.174377224,0.320151679,58030,0.077034884,0.118886112,0.125322997,492700,1939,0.426356589,16305.64082
36081009500,22.3,0.044844929,0,0.135373009,0,0.163034367,0.524727578,0.46142132,0.240569992,0.176865046,0.139145013,0.069153395,0.183989941,0.127743388,72500,0.052445074,0.138163437,0.043668122,861700,1939,0.72489083,14512.49924
36081009600,24.2,0.122520107,0.003753351,0.272654155,0,0.189008043,0.510991957,0.519974433,0.171045576,0.122788204,0.130831099,0.155764075,0.219302949,0.19630746,90188,0.057312253,0.092910849,0.161812298,478300,1939,0.285868393,18075.73393
36081009800,25.6,0.156065089,0,0.294008876,0,0.224112426,0.490014793,0.550898204,0.157174556,0.142011834,0.154955621,0.139423077,0.159393491,0.386004515,71910,0.091820988,0.207100592,0.165446559,497200,1939,0.59443631,19930.12663
36081010600,24.7,0.177390866,0,0.409790563,0,0.1221297,0.478930103,0.485868912,0.244259399,0.091849609,0.120615695,0.1665405,0.183699218,0.320531758,67031,0.116628702,0.153612936,0.247695853,474600,1939,0.412442396,22919.30531
36081034700,28.7,0.140569965,0.016330451,0.134486071,0,0.634646174,0.541146334,0.459713855,0.192122959,0.109189882,0.160102466,0.121357669,0.220621198,0.240512117,54667,0.077742947,0.129391892,0.151911469,610500,1952,0.511066398,8163.59606
36081035200,34.2,0.874013045,0,0.018194301,0,0.062135256,0.461036732,0.385129118,0.142808102,0.112255407,0.157569516,0.122897357,0.176793683,0.15698324,86071,0.057142857,0.11519945,0.076829268,416700,1948,0.268292683,4807.692308
36081035300,31.9,0.139235569,0,0.058112324,0,0.772230889,0.448127925,0.39086758,0.176287051,0.156396256,0.176677067,0.104134165,0.194227769,0.281737194,49310,0.052547771,0.212900673,0.277932961,581200,1939,0.546089385,16539.58793
36081043900,32.6,0.017475222,0.01799687,0.146061555,0,0.776473657,0.569640063,0.464965986,0.163536776,0.146061555,0.159363589,0.107459572,0.149452269,0.422457793,41161,0.095959596,0.242091503,0.265734266,442400,1957,0.63548951,23284.90914
36081044000,32.9,0.708202717,0,0.079414838,0,0.140543365,0.483019854,0.374257426,0.187042842,0.157262278,0.12460815,0.149164054,0.137669801,0.273531778,60350,0.157468354,0.141432695,0.175022789,377400,1941,0.37739289,10117.45552
36081044601,29.9,0.30216285,0.016857506,0.210877863,0.002544529,0.451653944,0.436704835,0.403501946,0.166984733,0.105916031,0.167938931,0.106552163,0.239503817,0.204713494,35948,0.058960887,0.170910248,0.249203822,160800,1962,0.818471338,13995.10349
