GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density
36029000500,38.6,0.06294964,0,0,0,0.153477218,0.432853717,0.361005331,0.118105516,0.126498801,0.083932854,0.208633094,0.220623501,0.228100607,26605,0.063400576,0.414311485,0.331218274,50800,1939,0.376903553,266.8535324
36029000700,27.7,0.004076087,0,0.007336957,0,0.029076087,0.454891304,0.472657499,0.16576087,0.135869565,0.111684783,0.153804348,0.254891304,0.067674586,71944,0.047530289,0.062043796,0.100133511,125300,1944,0.242323097,3437.581736
36029000900,30.8,0.005389718,0,0.005389718,0,0.180762852,0.484245439,0.391390401,0.207711443,0.22761194,0.093283582,0.088308458,0.176202322,0.100643651,52768,0.078431373,0.097014925,0.135734072,93000,1939,0.445060018,4384.936326
36029001000,32.4,0.09209454,0.034718826,0.016136919,0,0.055093725,0.515729421,0.427102238,0.193154034,0.168867156,0.082966585,0.15599022,0.193480033,0.122188732,49566,0.081107177,0.207792208,0.317935913,79400,1939,0.520183104,2932.488101
36029001100,33.4,0.057063326,0.015309673,0.032359081,0,0.105427975,0.525052192,0.324918567,0.186151705,0.134307585,0.092205985,0.175017397,0.217814892,0.170851797,37886,0.071886121,0.213183731,0.23904974,74300,1939,0.543429844,1885.467988
36029001600,47,0.521115211,0,0.069700697,0,0.162361624,0.577285773,0.314763231,0.218532185,0.123821238,0.113161132,0.09799098,0.137761378,0.203204661,16605,0.219827586,0.600084282,0.627133872,31900,1939,0.735849057,1240.066503
36029001700,41.7,0.27638191,0.003350084,0.02680067,0,0.218313791,0.490228922,0.307042254,0.198771636,0.151312116,0.061976549,0.100502513,0.228364042,0.316742081,17360,0.1760841,0.552763819,0.510416667,35000,1939,0.609375,1536.402707
36029003700,46.9,0.815896394,0,0.043169121,0,0.036058913,0.489334688,0.335347432,0.154393093,0.161503301,0.094718131,0.099542915,0.173438294,0.250763192,23792,0.143048128,0.422284406,0.533618582,36700,1939,0.708435208,3581.790895
36029006301,26.2,0.099455363,0,0.014918305,0,0.061094009,0.47975373,0.425253604,0.304522851,0.21098745,0.098744968,0.099218565,0.155576604,0.09478673,57700,0.017666544,0.132573058,0.15399061,233000,1939,0.572300469,5830.328199
36029005000,30.2,0.150770512,0,0.063306955,0,0.104123282,0.503123698,0.319457437,0.309870887,0.166180758,0.067055394,0.151187005,0.181591004,0.101748808,67963,0.022049287,0.125,0.133928571,111900,1947,0.541071429,1849.255984
36029006602,28.2,0.196508323,0.004872107,0.023142509,0,0.041006902,0.485180674,0.320052539,0.218432806,0.116930572,0.131140885,0.125050751,0.331709298,0.097208855,52774,0.049477352,0.131877729,0.267767408,286700,1939,0.685570711,5519.723543
36029005201,28.2,0.143822394,0,0.027348777,0,0.099099099,0.495173745,0.435181644,0.196911197,0.157657658,0.123873874,0.115830116,0.195945946,0.026200873,71461,0.031815688,0.097829716,0.076923077,219000,1939,0.414615385,2960.62032
36029004500,29.8,0.128038042,0,0.014265586,0,0.026769989,0.511976048,0.420313454,0.192145122,0.14846777,0.126805213,0.126805213,0.257837267,0.033629855,64120,0.066956813,0.103942019,0.116161616,207400,1939,0.388111888,2802.677441
36029004800,27,0.084450063,0.002022756,0.010872314,0,0.036662453,0.514538559,0.43733412,0.205309735,0.150948167,0.135271808,0.107964602,0.224020228,0.055403557,77622,0.057784912,0.098580841,0.094152047,212200,1939,0.36374269,3997.202464
36029004900,30.6,0.055446604,0,0.033695846,0,0.130682831,0.463897308,0.315596684,0.268853628,0.230165805,0.128721697,0.087537886,0.18630772,0.132395624,56806,0.031767581,0.167587805,0.128731343,157400,1939,0.589552239,4992.70099
36029005100,33.6,0.261757284,0,0.019958706,0,0.084193622,0.530855701,0.351683592,0.218398715,0.159899059,0.11034641,0.14911677,0.196375315,0.068944478,40888,0.016574586,0.210840606,0.157179269,115500,1944,0.498300765,3739.801127
