GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density
6037137504,22,0.009165461,0.013024602,0.015918958,0,0.030873131,0.50265316,0.550339367,0.104196816,0.093101785,0.112879884,0.136999518,0.372407139,0.030710173,158500,0.027916251,0.04341534,0.010086455,1185500,1968,0.025936599,540.3390749
6037138000,23.4,0.071474428,0.002353948,0.071260432,0,0.08410015,0.514658678,0.604255319,0.084314145,0.126471218,0.148726728,0.177188102,0.296597475,0.062191781,128026,0.073945025,0.082602183,0.003363229,832900,1966,0.17264574,1045.18234
6037139200,24.7,0.02619863,0,0.143835616,0,0.227739726,0.440924658,0.4060135,0.153767123,0.171061644,0.112157534,0.154452055,0.215410959,0.091442764,67420,0.080119681,0.103082192,0.02854512,560600,1971,0.429097606,5070.897045
6037143200,23.5,0.091448931,0,0.06175772,0.006888361,0.128028504,0.444893112,0.334595618,0.194299287,0.259144893,0.160095012,0.124940618,0.128028504,0.023081722,74063,0.096330275,0.10807601,0.053768603,693300,1977,0.712914066,4400.511337
6037143300,23.1,0.070876672,0.003863299,0.072213967,0,0.188707281,0.484695394,0.436177474,0.154531947,0.158543834,0.207875186,0.12897474,0.20371471,0.052264151,87125,0.059384689,0.05721949,0.015097976,810100,1968,0.595566977,4068.456711
6037201301,30.5,0.001966085,0.020643893,0.11329565,0,0.838043745,0.542393709,0.393401015,0.178913738,0.115999017,0.14450725,0.130253133,0.172523962,0.399921814,46250,0.069051167,0.270163286,0.157942238,550700,1953,0.50631769,4699.976552
6037201302,21.6,0.072078376,0.00209937,0.417541404,0,0.267786331,0.453463961,0.412443014,0.14672265,0.224399347,0.117331467,0.151154654,0.226265454,0.106812447,80000,0.049193548,0.16056338,0.017460317,426600,1983,0.376719577,4324.968902
6037201401,29.5,0.010386373,0.036975488,0.06626506,0,0.821146656,0.453884504,0.396226415,0.215621105,0.143955131,0.121520565,0.117573743,0.159742418,0.365532734,43681,0.087274291,0.237376912,0.130752374,418500,1956,0.534696859,3681.751088
6037201402,27.9,0.009516411,0.001747912,0.182171295,0,0.730044669,0.470576811,0.399953896,0.167022723,0.115556419,0.112254807,0.115362206,0.278112255,0.349566191,56698,0.06030745,0.16543258,0.055478502,466100,1950,0.299583911,2653.767915
6037139301,23.1,0.050762527,0,0.165795207,0,0.139215686,0.509368192,0.540366263,0.121350763,0.093899782,0.133551198,0.198257081,0.258605664,0.080108011,105192,0.065097462,0.052287582,0.005102041,771800,1958,0.114795918,1602.194902
